sku,name,category_id,description,unit,cost_price,selling_price,quantity_in_stock,minimum_stock_level,maximum_stock_level,reorder_point,reorder_quantity,location,brand,model,warranty_period,is_serialized,created_by
INP005,SteelSeries Mechanical Keyboard Max-644,4,SteelSeries Mechanical Keyboard (Max-644) for input devices,pcs,175.00,240.00,28,12,50,18,25,D1-05,SteelSeries,Max-644,24,FALSE,1
INP006,Logitech HD Webcam Pro-385,4,Logitech HD Webcam (Pro-385) for input devices,pcs,55.00,85.00,110,50,200,65,85,D1-06,Logitech,Pro-385,24,FALSE,1
INP007,Microsoft Surface Pen Air-774,4,Microsoft Surface Pen (Air-774) for input devices,pcs,75.00,105.00,72,30,120,40,55,D1-07,Microsoft,Air-774,24,FALSE,1
INP008,Wacom Drawing Tablet Elite-162,4,Wacom Drawing Tablet (Elite-162) for input devices,pcs,200.00,280.00,26,10,50,15,20,D1-08,Wacom,Elite-162,36,FALSE,1
INP009,Apple Trackpad Ultra-611,4,Apple Trackpad (Ultra-611) for input devices,pcs,120.00,170.00,54,20,100,28,40,D1-09,Apple,Ultra-611,12,FALSE,1
INP010,HP Wireless Keyboard Max-248,4,HP Wireless Keyboard (Max-248) for input devices,pcs,45.00,75.00,95,40,180,50,70,D1-10,HP,Max-248,24,FALSE,1
PRN001,HP Laser Printer Pro-320,5,HP Laser Printer (Pro-320) for printers,pcs,210.00,300.00,28,10,60,15,25,E1-01,HP,Pro-320,24,TRUE,1
PRN002,Canon Inkjet Printer Elite-420,5,Canon Inkjet Printer (Elite-420) for printers,pcs,150.00,220.00,32,12,70,18,26,E1-02,Canon,Elite-420,24,TRUE,1
PRN003,Epson EcoTank Printer Air-530,5,Epson EcoTank Printer (Air-530) for printers,pcs,180.00,260.00,35,15,80,20,28,E1-03,Epson,Air-530,24,TRUE,1
PRN004,Brother Laser Printer Max-145,5,Brother Laser Printer (Max-145) for printers,pcs,200.00,290.00,26,10,60,15,25,E1-04,Brother,Max-145,24,TRUE,1
PRN005,HP DeskJet Printer Ultra-631,5,HP DeskJet Printer (Ultra-631) for printers,pcs,130.00,190.00,40,15,90,20,30,E1-05,HP,Ultra-631,12,TRUE,1
PRN006,Canon Photo Printer Pro-284,5,Canon Photo Printer (Pro-284) for printers,pcs,220.00,310.00,24,8,50,12,20,E1-06,Canon,Pro-284,24,TRUE,1
PRN007,Epson WorkForce Printer Elite-912,5,Epson WorkForce Printer (Elite-912) for printers,pcs,250.00,340.00,22,8,50,12,20,E1-07,Epson,Elite-912,24,TRUE,1
PRN008,Brother Ink Tank Printer Air-301,5,Brother Ink Tank Printer (Air-301) for printers,pcs,180.00,260.00,38,15,80,20,28,E1-08,Brother,Air-301,24,TRUE,1
PRN009,HP OfficeJet Printer Max-117,5,HP OfficeJet Printer (Max-117) for printers,pcs,160.00,230.00,42,18,90,25,35,E1-09,HP,Max-117,24,TRUE,1
PRN010,Canon Compact Printer Ultra-846,5,Canon Compact Printer (Ultra-846) for printers,pcs,140.00,210.00,48,20,100,28,40,E1-10,Canon,Ultra-846,12,TRUE,1
NET001,TP-Link WiFi Router Max-215,6,TP-Link WiFi Router (Max-215) for networking,pcs,50.00,85.00,65,25,120,35,50,F1-01,TP-Link,Max-215,24,FALSE,1
NET002,Netgear Mesh Router Ultra-648,6,Netgear Mesh Router (Ultra-648) for networking,pcs,150.00,210.00,38,15,80,20,30,F1-02,Netgear,Ultra-648,24,FALSE,1
NET003,Linksys Dual-Band Router Pro-954,6,Linksys Dual-Band Router (Pro-954) for networking,pcs,90.00,140.00,55,20,100,28,40,F1-03,Linksys,Pro-954,24,FALSE,1
NET004,Asus Gaming Router Elite-202,6,Asus Gaming Router (Elite-202) for networking,pcs,180.00,250.00,30,10,60,15,25,F1-04,Asus,Elite-202,24,FALSE,1
NET005,D-Link Wireless Router Air-411,6,D-Link Wireless Router (Air-411) for networking,pcs,70.00,110.00,50,20,100,28,38,F1-05,D-Link,Air-411,24,FALSE,1
NET006,Ubiquiti Access Point Max-772,6,Ubiquiti Access Point (Max-772) for networking,pcs,120.00,180.00,42,15,90,22,32,F1-06,Ubiquiti,Max-772,24,FALSE,1
NET007,TP-Link Range Extender Ultra-935,6,TP-Link Range Extender (Ultra-935) for networking,pcs,40.00,70.00,75,30,150,40,60,F1-07,TP-Link,Ultra-935,24,FALSE,1
NET008,Netgear Switch Pro-184,6,Netgear Switch (Pro-184) for networking,pcs,60.00,95.00,65,25,120,35,50,F1-08,Netgear,Pro-184,24,FALSE,1
NET009,Linksys Network Hub Elite-604,6,Linksys Network Hub (Elite-604) for networking,pcs,85.00,130.00,55,20,100,28,40,F1-09,Linksys,Elite-604,24,FALSE,1
NET010,Asus Modem Router Max-381,6,Asus Modem Router (Max-381) for networking,pcs,130.00,190.00,35,15,80,20,30,F1-10,Asus,Max-381,24,FALSE,1
CAM001,Canon DSLR Camera Pro-431,7,Canon DSLR Camera (Pro-431) for cameras,pcs,500.00,750.00,20,8,50,12,20,G1-01,Canon,Pro-431,24,TRUE,1
CAM002,Nikon Mirrorless Camera Elite-683,7,Nikon Mirrorless Camera (Elite-683) for cameras,pcs,600.00,850.00,18,8,45,12,18,G1-02,Nikon,Elite-683,24,TRUE,1
CAM003,Sony Compact Camera Air-390,7,Sony Compact Camera (Air-390) for cameras,pcs,300.00,450.00,25,10,60,15,25,G1-03,Sony,Air-390,12,TRUE,1
CAM004,Fujifilm Instant Camera Ultra-892,7,Fujifilm Instant Camera (Ultra-892) for cameras,pcs,120.00,180.00,40,15,90,20,30,G1-04,Fujifilm,Ultra-892,12,TRUE,1
CAM005,GoPro Action Camera Max-729,7,GoPro Action Camera (Max-729) for cameras,pcs,250.00,350.00,28,10,70,15,25,G1-05,GoPro,Max-729,12,TRUE,1
CAM006,Canon Video Camera Pro-618,7,Canon Video Camera (Pro-618) for cameras,pcs,700.00,950.00,15,5,40,10,15,G1-06,Canon,Pro-618,24,TRUE,1
CAM007,Nikon DSLR Camera Ultra-527,7,Nikon DSLR Camera (Ultra-527) for cameras,pcs,550.00,800.00,22,8,50,12,20,G1-07,Nikon,Ultra-527,24,TRUE,1
CAM008,Sony Mirrorless Camera Elite-352,7,Sony Mirrorless Camera (Elite-352) for cameras,pcs,620.00,880.00,18,8,45,12,18,G1-08,Sony,Elite-352,24,TRUE,1
CAM009,Fujifilm Compact Camera Air-874,7,Fujifilm Compact Camera (Air-874) for cameras,pcs,280.00,420.00,30,12,65,18,28,G1-09,Fujifilm,Air-874,12,TRUE,1
CAM010,GoPro 360 Camera Max-925,7,GoPro 360 Camera (Max-925) for cameras,pcs,400.00,550.00,26,10,60,15,25,G1-10,GoPro,Max-925,12,TRUE,1
STO001,Seagate External HDD 1TB Pro-128,8,Seagate External HDD 1TB (Pro-128) for storage,pcs,45.00,70.00,80,30,150,40,60,H1-01,Seagate,Pro-128,24,FALSE,1
STO002,WD SSD 500GB Ultra-821,8,Western Digital SSD 500GB (Ultra-821) for storage,pcs,55.00,85.00,75,25,140,38,55,H1-02,WD,Ultra-821,36,FALSE,1
STO003,Kingston USB Drive 64GB Max-611,8,Kingston USB Drive 64GB (Max-611) for storage,pcs,8.00,15.00,150,50,300,80,120,H1-03,Kingston,Max-611,12,FALSE,1
STO004,SanDisk MicroSD 128GB Elite-389,8,SanDisk MicroSD 128GB (Elite-389) for storage,pcs,15.00,25.00,140,45,280,75,110,H1-04,SanDisk,Elite-389,12,FALSE,1
STO005,Seagate Internal HDD 2TB Air-714,8,Seagate Internal HDD 2TB (Air-714) for storage,pcs,60.00,95.00,65,20,130,35,50,H1-05,Seagate,Air-714,24,FALSE,1
STO006,WD External SSD 1TB Pro-501,8,Western Digital External SSD 1TB (Pro-501) for storage,pcs,110.00,160.00,50,18,110,28,45,H1-06,WD,Pro-501,36,FALSE,1
STO007,Kingston NVMe SSD 2TB Ultra-690,8,Kingston NVMe SSD 2TB (Ultra-690) for storage,pcs,180.00,250.00,40,15,90,22,35,H1-07,Kingston,Ultra-690,36,FALSE,1
STO008,SanDisk Extreme SSD 500GB Max-288,8,SanDisk Extreme SSD 500GB (Max-288) for storage,pcs,90.00,140.00,48,20,100,28,40,H1-08,SanDisk,Max-288,36,FALSE,1
STO009,Seagate Backup Plus 4TB Elite-305,8,Seagate Backup Plus 4TB (Elite-305) for storage,pcs,120.00,180.00,35,12,80,18,28,H1-09,Seagate,Elite-305,36,FALSE,1
STO010,WD Black SN850 1TB Air-194,8,Western Digital Black SN850 1TB (Air-194) for storage,pcs,150.00,210.00,30,10,70,15,25,H1-10,WD,Air-194,36,FALSE,1
GAM001,PlayStation 5 Console Max-541,9,Sony PlayStation 5 Console (Max-541) for gaming,pcs,499.00,599.00,40,15,90,20,30,I1-01,Sony,Max-541,24,TRUE,1
GAM002,Xbox Series X Ultra-783,9,Microsoft Xbox Series X (Ultra-783) for gaming,pcs,499.00,599.00,38,15,85,20,28,I1-02,Microsoft,Ultra-783,24,TRUE,1
GAM003,Nintendo Switch OLED Pro-215,9,Nintendo Switch OLED (Pro-215) for gaming,pcs,349.00,399.00,50,20,110,25,35,I1-03,Nintendo,Pro-215,24,TRUE,1
GAM004,Logitech G29 Racing Wheel Elite-698,9,Logitech G29 Racing Wheel (Elite-698) for gaming,pcs,299.00,349.00,30,12,70,18,28,I1-04,Logitech,Elite-698,24,TRUE,1
GAM005,Razer Gaming Headset Air-882,9,Razer Gaming Headset (Air-882) for gaming,pcs,99.00,149.00,65,25,130,35,50,I1-05,Razer,Air-882,24,FALSE,1
GAM006,SteelSeries Gaming Keyboard Max-572,9,SteelSeries Gaming Keyboard (Max-572) for gaming,pcs,129.00,179.00,55,20,110,28,45,I1-06,SteelSeries,Max-572,24,FALSE,1
GAM007,HyperX Gaming Mouse Ultra-214,9,HyperX Gaming Mouse (Ultra-214) for gaming,pcs,59.00,89.00,70,28,140,40,60,I1-07,HyperX,Ultra-214,24,FALSE,1
GAM008,Elgato Game Capture Pro-932,9,Elgato Game Capture (Pro-932) for gaming,pcs,149.00,199.00,35,12,80,18,28,I1-08,Elgato,Pro-932,24,FALSE,1
GAM009,ASUS ROG Gaming Laptop Elite-492,9,ASUS ROG Gaming Laptop (Elite-492) for gaming,pcs,1499.00,1799.00,20,8,50,12,20,I1-09,ASUS,Elite-492,24,TRUE,1
GAM010,Acer Predator Monitor Air-781,9,Acer Predator Gaming Monitor (Air-781) for gaming,pcs,899.00,1099.00,25,10,60,15,25,I1-10,Acer,Air-781,24,FALSE,1
OFF001,HP Office Printer Max-635,10,HP Office Printer (Max-635) for office equipment,pcs,199.00,249.00,40,15,90,20,30,J1-01,HP,Max-635,24,TRUE,1
OFF002,Canon All-in-One Printer Ultra-512,10,Canon All-in-One Printer (Ultra-512) for office equipment,pcs,179.00,229.00,45,18,95,22,32,J1-02,Canon,Ultra-512,24,TRUE,1
OFF003,Brother Laser Printer Pro-421,10,Brother Laser Printer (Pro-421) for office equipment,pcs,159.00,209.00,35,12,80,18,28,J1-03,Brother,Pro-421,24,TRUE,1
OFF004,Epson Ink Tank Printer Elite-333,10,Epson Ink Tank Printer (Elite-333) for office equipment,pcs,189.00,239.00,38,15,85,20,30,J1-04,Epson,Elite-333,24,TRUE,1
OFF005,Logitech Conference Camera Air-722,10,Logitech Conference Camera (Air-722) for office equipment,pcs,249.00,299.00,28,10,70,15,25,J1-05,Logitech,Air-722,24,TRUE,1
OFF006,Microsoft Ergonomic Keyboard Max-892,10,Microsoft Ergonomic Keyboard (Max-892) for office equipment,pcs,79.00,119.00,55,20,110,28,45,J1-06,Microsoft,Max-892,24,FALSE,1
OFF007,Logitech Wireless Mouse Ultra-662,10,Logitech Wireless Mouse (Ultra-662) for office equipment,pcs,49.00,79.00,65,25,130,35,50,J1-07,Logitech,Ultra-662,24,FALSE,1
OFF008,Staples Office Chair Pro-273,10,Staples Office Chair (Pro-273) for office equipment,pcs,149.00,199.00,60,25,140,38,55,J1-08,Staples,Pro-273,24,FALSE,1
OFF009,Herman Miller Desk Elite-185,10,Herman Miller Desk (Elite-185) for office equipment,pcs,499.00,699.00,30,12,80,18,28,J1-09,Herman Miller,Elite-185,24,FALSE,1
OFF010,Epson Projector Air-774,10,Epson Projector (Air-774) for office equipment,pcs,399.00,549.00,25,10,70,15,25,J1-10,Epson,Air-774,24,TRUE,1
TOO001,Bosch Cordless Drill Max-258,11,Bosch Cordless Drill (Max-258) for tools,pcs,99.00,149.00,70,28,140,40,60,K1-01,Bosch,Max-258,24,TRUE,1
TOO002,DeWalt Circular Saw Ultra-599,11,DeWalt Circular Saw (Ultra-599) for tools,pcs,129.00,179.00,65,25,130,35,50,K1-02,DeWalt,Ultra-599,24,TRUE,1
TOO003,Black+Decker Heat Gun Pro-844,11,Black+Decker Heat Gun (Pro-844) for tools,pcs,49.00,79.00,80,30,160,45,70,K1-03,Black+Decker,Pro-844,24,TRUE,1
TOO004,Stanley Tool Set Elite-712,11,Stanley Tool Set (Elite-712) for tools,pcs,79.00,119.00,75,28,150,40,65,K1-04,Stanley,Elite-712,24,TRUE,1
TOO005,Milwaukee Impact Wrench Air-501,11,Milwaukee Impact Wrench (Air-501) for tools,pcs,149.00,199.00,60,25,130,35,50,K1-05,Milwaukee,Air-501,24,TRUE,1
TOO006,Bosch Angle Grinder Max-220,11,Bosch Angle Grinder (Max-220) for tools,pcs,89.00,129.00,68,28,140,38,55,K1-06,Bosch,Max-220,24,TRUE,1
TOO007,DeWalt Jigsaw Ultra-784,11,DeWalt Jigsaw (Ultra-784) for tools,pcs,99.00,149.00,64,25,130,35,50,K1-07,DeWalt,Ultra-784,24,TRUE,1
TOO008,Black+Decker Electric Sander Pro-325,11,Black+Decker Electric Sander (Pro-325) for tools,pcs,79.00,119.00,72,28,145,40,60,K1-08,Black+Decker,Pro-325,24,TRUE,1
TOO009,Stanley Measuring Tape Elite-915,11,Stanley Measuring Tape (Elite-915) for tools,pcs,15.00,25.00,150,50,300,80,120,K1-09,Stanley,Elite-915,12,FALSE,1
TOO010,Milwaukee Power Tool Combo Air-672,11,Milwaukee Power Tool Combo (Air-672) for tools,pcs,299.00,399.00,50,20,110,28,45,K1-10,Milwaukee,Air-672,24,TRUE,1
SPT001,Nike Running Shoes Max-412,12,Nike Running Shoes (Max-412) for sports equipment,pcs,79.00,129.00,80,30,160,45,70,L1-01,Nike,Max-412,12,FALSE,1
SPT002,Adidas Soccer Ball Ultra-689,12,Adidas Soccer Ball (Ultra-689) for sports equipment,pcs,25.00,39.00,120,50,240,70,100,L1-02,Adidas,Ultra-689,12,FALSE,1
SPT003,Puma Sports Jacket Pro-517,12,Puma Sports Jacket (Pro-517) for sports equipment,pcs,59.00,99.00,90,35,180,50,80,L1-03,Puma,Pro-517,12,FALSE,1
SPT004,Wilson Tennis Racket Elite-354,12,Wilson Tennis Racket (Elite-354) for sports equipment,pcs,89.00,139.00,75,28,150,40,65,L1-04,Wilson,Elite-354,12,FALSE,1
SPT005,Spalding Basketball Air-625,12,Spalding Basketball (Air-625) for sports equipment,pcs,29.00,45.00,110,45,220,65,95,L1-05,Spalding,Air-625,12,FALSE,1
SPT006,Yonex Badminton Racket Max-282,12,Yonex Badminton Racket (Max-282) for sports equipment,pcs,49.00,79.00,85,35,170,50,80,L1-06,Yonex,Max-282,12,FALSE,1
SPT007,Everlast Boxing Gloves Ultra-744,12,Everlast Boxing Gloves (Ultra-744) for sports equipment,pcs,39.00,65.00,95,40,190,55,90,L1-07,Everlast,Ultra-744,12,FALSE,1
SPT008,Reebok Training Mat Pro-468,12,Reebok Training Mat (Pro-468) for sports equipment,pcs,25.00,40.00,105,45,210,60,100,L1-08,Reebok,Pro-468,12,FALSE,1
SPT009,Under Armour Sports Bag Elite-879,12,Under Armour Sports Bag (Elite-879) for sports equipment,pcs,35.00,55.00,100,40,200,55,95,L1-09,Under Armour,Elite-879,12,FALSE,1
SPT010,Nike Yoga Pants Air-391,12,Nike Yoga Pants (Air-391) for sports equipment,pcs,45.00,75.00,85,35,170,50,80,L1-10,Nike,Air-391,12,FALSE,1
MUS001,Fender Acoustic Guitar Max-184,13,Fender Acoustic Guitar (Max-184) for musical instruments,pcs,149.00,199.00,50,20,110,28,45,M1-01,Fender,Max-184,24,FALSE,1
MUS002,Yamaha Digital Piano Ultra-528,13,Yamaha Digital Piano (Ultra-528) for musical instruments,pcs,499.00,699.00,35,12,80,18,28,M1-02,Yamaha,Ultra-528,24,FALSE,1
MUS003,Roland Electronic Drum Kit Pro-917,13,Roland Electronic Drum Kit (Pro-917) for musical instruments,pcs,799.00,999.00,28,10,65,15,25,M1-03,Roland,Pro-917,24,FALSE,1
MUS004,Gibson Electric Guitar Elite-672,13,Gibson Electric Guitar (Elite-672) for musical instruments,pcs,899.00,1199.00,20,8,50,12,20,M1-04,Gibson,Elite-672,24,FALSE,1
MUS005,Korg Synthesizer Air-322,13,Korg Synthesizer (Air-322) for musical instruments,pcs,599.00,799.00,25,10,60,15,25,M1-05,Korg,Air-322,24,FALSE,1
MUS006,Shure Microphone Max-293,13,Shure Microphone (Max-293) for musical instruments,pcs,99.00,149.00,60,25,130,35,50,M1-06,Shure,Max-293,24,FALSE,1
MUS007,AKG Studio Headphones Ultra-784,13,AKG Studio Headphones (Ultra-784) for musical instruments,pcs,129.00,179.00,55,20,120,30,45,M1-07,AKG,Ultra-784,24,FALSE,1
MUS008,Boss Guitar Pedal Pro-665,13,Boss Guitar Pedal (Pro-665) for musical instruments,pcs,79.00,119.00,70,28,140,40,60,M1-08,Boss,Pro-665,24,FALSE,1
MUS009,Yamaha Acoustic Drum Set Elite-812,13,Yamaha Acoustic Drum Set (Elite-812) for musical instruments,pcs,699.00,899.00,22,8,55,12,22,M1-09,Yamaha,Elite-812,24,FALSE,1
MUS010,Fender Bass Guitar Air-523,13,Fender Bass Guitar (Air-523) for musical instruments,pcs,499.00,699.00,28,10,65,15,25,M1-10,Fender,Air-523,24,FALSE,1
PET001,Pedigree Dog Food Max-621,14,Pedigree Dog Food (Max-621) for pet supplies,pcs,25.00,40.00,150,60,300,90,140,N1-01,Pedigree,Max-621,12,FALSE,1
PET002,Whiskas Cat Food Ultra-354,14,Whiskas Cat Food (Ultra-354) for pet supplies,pcs,20.00,35.00,140,55,280,85,130,N1-02,Whiskas,Ultra-354,12,FALSE,1
PET003,Petmate Dog Crate Pro-781,14,Petmate Dog Crate (Pro-781) for pet supplies,pcs,89.00,129.00,60,25,130,35,50,N1-03,Petmate,Pro-781,12,FALSE,1
PET004,Kong Dog Toy Elite-498,14,Kong Dog Toy (Elite-498) for pet supplies,pcs,15.00,25.00,160,65,320,100,150,N1-04,Kong,Elite-498,12,FALSE,1
PET005,Tetra Fish Tank Air-912,14,Tetra Fish Tank (Air-912) for pet supplies,pcs,59.00,89.00,70,30,140,45,70,N1-05,Tetra,Air-912,12,FALSE,1
PET006,PetSafe Dog Collar Max-275,14,PetSafe Dog Collar (Max-275) for pet supplies,pcs,25.00,40.00,120,50,240,75,110,N1-06,PetSafe,Max-275,12,FALSE,1
PET007,Hartz Cat Litter Ultra-652,14,Hartz Cat Litter (Ultra-652) for pet supplies,pcs,15.00,25.00,140,55,280,85,130,N1-07,Hartz,Ultra-652,12,FALSE,1
PET008,Marina Aquarium Pro-213,14,Marina Aquarium (Pro-213) for pet supplies,pcs,79.00,119.00,65,28,140,40,60,N1-08,Marina,Pro-213,12,FALSE,1
PET009,Blue Buffalo Dog Treats Elite-742,14,Blue Buffalo Dog Treats (Elite-742) for pet supplies,pcs,20.00,35.00,130,55,270,80,120,N1-09,Blue Buffalo,Elite-742,12,FALSE,1
PET010,Zilla Reptile Terrarium Air-327,14,Zilla Reptile Terrarium (Air-327) for pet supplies,pcs,99.00,149.00,55,25,120,35,50,N1-10,Zilla,Air-327,12,FALSE,1
TOY001,LEGO Building Set Max-589,15,LEGO Building Set (Max-589) for toys,pcs,49.00,79.00,100,40,200,55,95,O1-01,LEGO,Max-589,12,FALSE,1
TOY002,Mattel Barbie Doll Ultra-384,15,Mattel Barbie Doll (Ultra-384) for toys,pcs,25.00,39.00,110,45,220,65,95,O1-02,Mattel,Ultra-384,12,FALSE,1
TOY003,Hasbro Action Figure Pro-721,15,Hasbro Action Figure (Pro-721) for toys,pcs,19.00,29.00,120,50,240,70,100,O1-03,Hasbro,Pro-721,12,FALSE,1
TOY004,Nerf Blaster Elite-416,15,Nerf Blaster (Elite-416) for toys,pcs,29.00,49.00,105,45,210,60,100,O1-04,Nerf,Elite-416,12,FALSE,1
TOY005,Hot Wheels Car Set Air-643,15,Hot Wheels Car Set (Air-643) for toys,pcs,15.00,25.00,150,60,300,90,140,O1-05,Hot Wheels,Air-643,12,FALSE,1
TOY006,Fisher-Price Playset Max-295,15,Fisher-Price Playset (Max-295) for toys,pcs,39.00,65.00,95,40,190,55,90,O1-06,Fisher-Price,Max-295,12,FALSE,1
TOY007,Crayola Art Kit Ultra-529,15,Crayola Art Kit (Ultra-529) for toys,pcs,19.00,29.00,140,55,280,85,130,O1-07,Crayola,Ultra-529,12,FALSE,1
TOY008,Play-Doh Set Pro-752,15,Play-Doh Set (Pro-752) for toys,pcs,15.00,25.00,160,65,320,100,150,O1-08,Play-Doh,Pro-752,12,FALSE,1
TOY009,Melissa & Doug Puzzle Elite-193,15,Melissa & Doug Puzzle (Elite-193) for toys,pcs,12.00,19.00,170,70,340,105,160,O1-09,Melissa & Doug,Elite-193,12,FALSE,1
TOY010,Disney Plush Toy Air-821,15,Disney Plush Toy (Air-821) for toys,pcs,19.00,29.00,140,55,280,85,130,O1-10,Disney,Air-821,12,FALSE,1
ELEC001,Apple MacBook Pro 16",1,Apple MacBook Pro 16-inch with M2 chip,pcs,2499.00,2999.00,12,5,50,8,15,A1-01,Apple,MacBook Pro M2,12,TRUE,1
ELEC001,MacBook Pro 16",1,Apple MacBook Pro 16-inch with M2 chip,pcs,2499.00,2999.00,12,5,50,8,15,A1-01,Apple,MacBook Pro M2,12,TRUE,1
ELEC002,Dell XPS 13,1,Dell XPS 13 Ultra-thin laptop,pcs,899.00,1199.00,18,8,40,12,20,A1-02,Dell,XPS 13,24,TRUE,1
ELEC003,HP EliteBook 840,1,Business laptop with security features,pcs,1200.00,1599.00,25,10,60,15,25,A1-03,HP,EliteBook 840 G9,36,TRUE,1
